iter	Passed	Remaining
904	14043	1474
905	14054	1458
906	14062	1441
907	14088	1427
908	14107	1412
909	14119	1396
910	14129	1380
911	14138	1364
912	14170	1350
913	14186	1334
914	14198	1319
915	14207	1302
916	14232	1288
917	14250	1272
918	14263	1257
919	14272	1241
920	14280	1224
921	14308	1210
922	14324	1194
923	14335	1179
924	14345	1163
925	14353	1147
926	14384	1132
927	14399	1117
928	14410	1101
929	14419	1085
930	14446	1070
931	14463	1055
932	14476	1039
933	14486	1023
934	14494	1007
935	14524	993
936	14539	977
937	14549	961
938	14559	945
939	14571	930
940	14601	915
941	14614	899
942	14623	883
943	14631	867
944	14654	852
945	14671	837
946	14683	821
947	14693	805
948	14701	790
949	14725	775
950	14742	759
951	14754	743
952	14763	728
953	14772	712
954	14793	697
955	14813	681
956	14825	666
957	14835	650
958	14843	634
959	14866	619
960	14883	604
961	14895	588
962	14906	572
963	14914	556
964	14937	541
965	14955	526
966	14967	510
967	14977	495
968	14986	479
969	15015	464
970	15032	448
971	15043	433
972	15052	417
973	15060	402
974	15090	386
975	15106	371
976	15117	355
977	15126	340
978	15153	325
979	15170	309
980	15183	294
981	15192	278
982	15201	262
983	15230	247
984	15245	232
985	15256	216
986	15265	201
987	15273	185
988	15303	170
989	15317	154
990	15328	139
991	15336	123
992	15345	108
993	15352	92
994	15383	77
995	15397	61
996	15408	46
997	15419	30
998	15447	15
999	15461	0
